barcode01,CHIKV-1,37124
barcode02,Denv1-5,11053
barcode03,Denv2-7,11060
barcode04,Denv3-10,11069
barcode05,EEEV-16,11021
barcode06,JEV-17,11072
barcode07,MAYV-21,59301
barcode08,ONNV-22,2169701
barcode09,RRV-23,11029
barcode10,RVFV-24,11588
barcode11,SARS-CoV-25,2697049
barcode12,SFNV-35,206160
barcode13,SFSV-36,28292
barcode14,SINV-37,11034
barcode15,TBEV-38,11084
barcode16,TOSV-42,11590
barcode17,USUV-43,64286
barcode18,VEEV-45,11036
barcode19,WEEV-47,11039
barcode20,WNV-48,11082
barcode21,YFV-52,11089
barcode22,ZIKV-55,64320
barcode23,HIV-59,11676
barcode24,MPOX-65,10244
